afr|2|Africana Library (Africana Center)|Y|N
afr,anx|3|Library Annex|Y|N
afr,res|4|Africana Library Reserve|Y|N
afr,ref|5|Africana Library Reference ( Non-Circulating)|Y|N
agen|6|Ag Engineering Library (Riley Robb Hall) (Dept. use only)|Y|Y
bioc|8|Biochem Reading Room (Biotech Building) (Dept. use only)|Y|Y
cise|9|CISER Data Archive|Y|N
cons|10|Preservation Department (B32 Olin)|Y|N
cons,lab|11|Conservation Laboratory (Library Annex)|Y|N
cons,opt|12||Y|Y
ech|13|Kroch Library Asia|Y|N
ech,anx|14|Library Annex|Y|N
ech,av|15|Uris Library Asia A/V|Y|N
ech,str1|16|Request at Olin Circulation Desk|Y|N
ech,rare|17|Kroch Library Rare & Manuscripts (Non-Circulating)|Y|N
ech,ref|18|Kroch Library Asia Reference (Non-Circulating)|Y|N
engr|19|Library Annex|Y|N
engr,ref|20|Library Annex|Y|Y
engr,anx|21|Library Annex|Y|N
engr,base|22|Library Annex|Y|Y
engr,res|23|Library Annex|Y|Y
engr,wpe|24|Library Annex|Y|Y
ent|25|Mann Library New Book Shelf|Y|Y
ent,anx|26|Library Annex|Y|N
ent,rar2|27|Entomology Library Rare (Non-Circulating)|Y|Y
ent,rare|28|Entomology Library Rare (Non-Circulating)|Y|Y
ent,res|29|Entomology Library Reserve|Y|Y
ent,ref|30|Entomology Library Reference (Non-Circulating)|Y|Y
fine|31|Fine Arts Library (Rand Hall)|Y|N
fine,anx|32|Library Annex|Y|N
fine,res|33|Fine Arts Library Reserve|Y|N
fine,lock|34|Fine Arts Library (Ask at Circulation)|Y|N
fine,nine|35|Fine Arts Library (Ask at Circulation)|Y|N
fine,ref|36|Fine Arts Library Reference (Non-Circulating)|Y|N
food|37|Food Science Library (Stocking Hall) (Dept. use only)|Y|Y
gnva|38|Library Annex|Y|N
gnva,anx|39|Library Annex|Y|N
gnva,rare|40|Mann Library Special Collections (Non-Circulating)|Y|N
gnva,ref|41|Library Annex|Y|N
hote|43|ILR Library (Ives Hall)|Y|N
hote,anx|44|Library Annex|Y|N
hote,rare|45|Kroch Library Rare & Manuscripts (Non-Circulating)|Y|N
hote,ref|46|ILR Library Reference (Non-Circulating)|Y|N
hote,res|47|Nestle Library Reserve|Y|N
rmc,hsci|48|Kroch Library Rare & Manuscripts (Non-Circulating)|Y|N
rmc,ref|49|Kroch Library Rare & Manuscripts Reference (Non-Circulating)|Y|N
rmc,ice|50|Olin Library|Y|N
ilr|51|ILR Library (Ives Hall)|Y|N
ilr,anx|52|Library Annex|Y|N
ilr,ref|53|ILR Library Reference (Non-Circulating)|Y|N
ilr,kanx|54|ILR Library Kheel Center (Request in advance)|Y|N
ilr,lmdc|55|ILR Library Kheel Center|Y|N
ilr,lmdr|56|ILR Library Kheel Center Reference|Y|N
ilr,rare|57|ILR Library Kheel Center|Y|N
ilr,res|58|ILR Library Reserve|Y|N
jgsm|59|ILR Library (Ives Hall)|Y|N
jgsm,anx|60|Library Annex|Y|N
jgsm,res|61|Sage Hall Management Library Reserve|Y|N
jgsm,ref|62|ILR Library Reference (Non-Circulating)|Y|N
law|63|Law Library (Myron Taylor Hall)|Y|N
law,anx|64|Library Annex|Y|N
law,ref|65|Law Library Reference (Non-Circulating)|Y|N
law,lega|66|Legal Aid Clinic|Y|N
law,res|67|Law Library Reserve|Y|N
law,ts|68|Law Library Technical Services|Y|N
mann|69|Mann Library|Y|N
